Catégorie;Niveau;Libellé;juste;faux1;faux2;faux3;faux4;feedback
;;La panne est dûe à la vétusté de l'appareil.;incorrect;correct;;;;due
;;Tous nos produits sont testés avant leur mise sur le marché.;correct;incorrect;;;;
;;Le nouveau stagiaire est un bon communiquant;incorrect;correct;;;;communicant
;;N'hésitez pas à nous contactez.;incorrect;correct;;;;contacter
;;Henry a ôté le language familier du texte de son devoir.;incorrect;correct;;;;langage
;;Il faut rendre le rapport de stage dès que demandé.;correct;incorrect;;;;
;;Le reponsable a réparti les taches.;incorrect;correct;;;;tâches
;;L'équipe attend l'arrivée du responsable.;correct;incorrect;;;;
;;Deux milles tracs orange sont distribués.;incorrect;correct;;;;mille
;;Ce stage est plus tôt bien payé.;incorrect;correct;;;;plutôt
;;Personne ne le croit jamais.;correct;incorrect;;;;
;;Expliquez-vous de vive voie !;incorrect;correct;;;;voix
;;Le cheval a parcouru quelque 20 kilomètres.;correct;incorrect;;;;
;;Les voitures rouge foncées sont garées dans la rue.;incorrect;correct;;;;foncé
;;Tâchez de résoudre ce différent stupide.;incorrect;correct;;;;différend
;;On progresse en se fessant confiance.;incorrect;correct;;;;faisant
;;Il faut pallier aux inconvénients du bruit.;incorrect;correct;;;;pallier les
;;Jean a acheté des fleur.;incorrect;correct;;;;fleurs
;;J'offrirai ce bouquet à Brigitte.;correct;incorrect;;;;
;;Dans ce champ de maïs les ouvriers chantent en travaillant.;correct;incorrect;;;;
;;Les documents ci-joints  sont les derniers.;correct;incorrect;;;;
;;Je vous envoie le colis tout dessuite;incorrect;correct;;;;de suite
;;La connection à internet laisse à désirer !;incorrect;correct;;;;connexion
;;Ces neuf cent euros suffiront pour l'achat de cette voiture.;incorrect;correct;;;;cents
;;Le chéquier est sensé suffire pour le paiement.;incorrect;correct;;;;censé
;;L'étudiant n'est pas prêt de passer l'oral.;incorrect;correct;;;;près de
;;La commande est dispensée de frais de porc.;incorrect;correct;;;;port
;;La plupart des devoirs rendus sont corrects.;correct;incorrect;;;;
;;Aucune des brasseries contrôlées n'était hors-la-loi.;correct;incorrect;;;;
;;Pense à indiquer ton nom et ton adresse sur le bordereau d'envoi.;correct;incorrect;;;;
;;Cet espèce d'idiot a tenté de négocier avec le policier !;incorrect;correct;;;;cette
;;Le nombre de candidats croît sans cesse.;correct;incorrect;;;;
;;Ils tablent sur un bénéfice de 1.5 millions d'euros;incorrect;correct;;;;million
;;Si vous contrefaites les documents, vous aurez des ennuis !;correct;incorrect;;;;
;;Nous avons rencontré beaucoup d'avatars durant notre voyage.;incorrect;correct;;;;avatar=double
;;Tu es sensé arriver à 8 heures !;incorrect;correct;;;;censé
;;Le ministre viendra lui même inaugurer cette nouvelle école;incorrect;correct;;;;lui-même
;;En cas de panne, j'envois un technicien chez le client;incorrect;correct;;;;envoie
;;N'hésite pas à insister pour obtenir rendez-vous.;correct;incorrect;;;;
;;Il faut que tu rapelles le client.;incorrect;correct;;;;rappelles
;;En mon fort intérieur, je suis sûr de gagner.;incorrect;correct;;;;for
;;Malgrés les avancées scientifiques, on a toujours pas élucidé les mystères de l'univers;incorrect;correct;;;;malgré
;;Les piles sont-elles inclues dans la voiture télécommandée ?;incorrect;correct;;;;incluses
;;"Le titre de l'émission est ""Cauchemard en cuisine"".";incorrect;correct;;;;cuachemar
;;J'ai crû bien faire en invitant tes parents à déjeuner dimanche.;incorrect;correct;;;;cru
;; Cet élève travaille assidument et, ce faisant, obtient de bons résultats;correct;incorrect;;;;
;;Je vous serai gré de bien vouloir accuser réception de ce courrier.;incorrect;correct;;;;saurai
;;Au pied du sapin étaient disposés des cadeaux pour les enfants.;correct;incorrect;;;;
;;Vues les difficultés météorologiques, les cours sont annulés.;incorrect;correct;;;;vu
;;L'assasssin n'a pas encore été retrouvé, il peut-être partout;incorrect;correct;;;;peut être
;;Ce travail est-il bien rénuméré ?;incorrect;correct;;;;rémunéré
;;Il existe différents types de nezs : crochus, droits ou retroussés;incorrect;correct;;;;nez
;;Heureusement, il y a des magasines pour passer le temps !;incorrect;correct;;;;magazines
;;Eh bien, qu'attendez-vous pour vous mettre au travail ?;correct;incorrect;;;;
;;Tous les lundis, je regarde ma série préférée à la télé.;correct;incorrect;;;;
;;Au moment de l'hymne national, tous les supporters étaient debouts.;incorrect;correct;;;;debout
;;Nombres de vêtements envahissent les rayons des boutiques lors des soldes.;incorrect;correct;;;;nombre
;;Les Arborigènes d'Australie sont en voie de disparition;incorrect;correct;;;;Aborigènes
;;Demain je suis convoqué à un entretien.;correct;incorrect;;;;
;;Cet opérateur téléphonique propose un abonnement internet à 1,99 euros.;incorrect;correct;;;;euro
;;Le client voulait avoir à faire avec le directeur.;incorrect;correct;;;;affaire
;;Je l'ai dit par acquis de conscience.;incorrect;correct;;;;acquit
;;C'est là que le bât blesse.;correct;incorrect;;;;
;;C'est un scandale de voir tous les aliments qui sont jettés !;incorrect;correct;;;;jetés
;;J'ai fait passer le document à Mr le Maire.;incorrect;correct;;;;M.
;;Les personnes intéressées peuvent appeler, hormi le dimanche;incorrect;correct;;;;hormis
;;Ce vieux satyre vit entouré de jeunes beautés.;correct;incorrect;;;;
;;Je pensais que, parmi les étudiants, beaucoup seraient sérieux.;correct;incorrect;;;;
;;Et vous me dites que les soucoupes volantes étaient marrons ?;incorrect;correct;;;;marron
;;Elle a lu quatres tomes de la saga de Zola.;incorrect;correct;;;;quatre
;;On m'a demandé d'assuré la permanence ce weekend.;incorrect;correct;;;;assurer
;;Mon collègue va vous précisez si la TVA est comprise dans le prix.;incorrect;correct;;;;préciser
;;Vous faites peu de cas de nos sentiments !;correct;incorrect;;;;
;;J'ai mes astuces, ils me disent qu'ils ont les leur.;incorrect;correct;;;;leurs
;;On dit que les aveyronnais sont chauvins;incorrect;correct;;;;Aveyronnais
;;La stagiaire est toute épatée de ton professionnalisme.;incorrect;correct;;;;tout
;;Béa est allée de toute urgence au vétérinaire pour faire soigner son chat;incorrect;correct;;;;chez
;;Quand il est sorti de l'eau, Jean était en hippothermie.;correct;incorrect;;;;
;;Cet enfant est une vraie glu.;correct;incorrect;;;;
;;Attention ce produit chimique est très volatile.;incorrect;correct;;;;volatil
;;Albert lit des bandes dessinées tous les jours, il en est accroc.;incorrect;correct;;;;accro
;;Tout ce que l'on pensait s'est avéré faux.;incorrect;correct;;;;avéré =vrai
;;Aux prochaines vacances, je m'offrirai une petite pause.;correct;incorrect;;;;
;;Ce groupe de boys band, je les trouve banaux.;incorrect;correct;;;;banals
;;Les professionnels de l'informatique ont la cote.;correct;incorrect;;;;
;;En dépassant la limitation de vitesse, j'ai attrapé une amande.;incorrect;correct;;;;amende
;;Le fonds documentaire de l'I.U.T. est très complet.;correct;incorrect;;;;
;;Je vous saurai gré de me répondre rapidement par courrier.;correct;incorrect;;;;
;;Face à tes ennuis pécuniers, j'accepte de t'aider.;incorrect;correct;;;;pécuniaires
;;Vous n'êtes pas sans ignorer que sans travail il n'y a pas de succès.;incorrect;correct;;;;Vous savez
;;Je me retrouve face à une double alternative…;incorrect;correct;;;;double
;;Les jurés se sont réunis à huit clos.;incorrect;correct;;;;huis
;;Ma mère m'a rabattu les oreilles à cause de de mes réultats scolaires.;incorrect;correct;;;;rebattu
;;Le chiffre d'affaires a-t-il vraiment doublé ?;correct;incorrect;;;;
;;La conjecture immobilière est actuellement très mauvaise;incorrect;correct;;;;conjoncture
;;Les fêtards sont arrivés sans crier garde.;incorrect;correct;;;;gare
;;Ce job d'été est très bien rénuméré.;incorrect;correct;;;;rémunéré
;;Les places financières craignent un crack boursier.;incorrect;correct;;;;krack
;;L'aigle royal a rejoint son repaire.;correct;incorrect;;;;
;;Nous dînons avec Jacques tous les dimanches.;correct;incorrect;;;;
;;Mes parents sont commerçants, ils travaillent tous les samedis.;correct;incorrect;;;;
;;Certe, le tarif est intéressant, mais que ferais-je d'un troisième ordinateur ?;incorrect;correct;;;;certes
;;Auparavent, il recevait un salaire plus important.;incorrect;correct;;;;auparavant
;;Allons-y ensembles, à trois nous serons plus forts.;incorrect;correct;;;;ensemble
;;Biensûr tu ne dors plus. Normal avec tout le café que tu bois !;incorrect;correct;;;;bien sûr
;;Malgrés la crise, notre entreprise est en plein développement.;incorrect;correct;;;;malgré
;;Nous assurons essentiellement des transports internationnaux.;incorrect;correct;;;;internationnaux
;;Je ne vois pas trois mille solutions pour résoudre cet exercice !;correct;incorrect;;;;
;;Ces livraisons nous les expédieront par avion.;incorrect;correct;;;;expédierons
;;Vos propos sont vraiment extravaguants !;incorrect;correct;;;;extravagants
;;""" Va, cours, vole et nous venge ! "" ";correct;incorrect;;;;
;;Si ce gâteau te tente, sers-t'en une part.;correct;incorrect;;;;
;;Si vous n'y allez pas, on y va pas non plus.;incorrect;correct;;;;n'y
;;Tu devrais t'adresser plutôt au fabriquant.;incorrect;correct;;;;fabricant
;;Si ça se trouve, tu as peut-être rencontré Miss France.;correct;incorrect;;;;
;;Ces parents sont loin, mais elle leur téléphone tous les jours.;correct;incorrect;;;;
;;J'admets que cette solution présente plus davantage que la précédente.;incorrect;correct;;;;d'avantages
;;S'ils échouent à l'examen, il devront sans prendre à eux-mêmes.;correct;incorrect;;;;
;;Mon frère ne sera pas la avec nous.;incorrect;correct;;;;là
;;Pour la vente de votre maison, pensez à faire un diagnostic thermique.;correct;incorrect;;;;
;;Tu devrais mettre ces cartes de vœux à l'envoie avant jeudi.;incorrect;correct;;;;envoie
;;Elle devra nous rejoindre pas ces propres moyens.;incorrect;correct;;;;ses
;;Ne t'inquiète pas pour ça !;correct;incorrect;;;;
;;Note-le, sinon tu risques dans oublier la moitié.;incorrect;correct;;;;d'en
;;Ce match, il est or de question qu'on le perde !;incorrect;correct;;;;hors
;;Qu'en pensez-vous ?;correct;incorrect;;;;
;;Leur mère est professeur, la notre est pharmacienne.;incorrect;correct;;;;nôtre
;;On reconnaît un cube à ses douze arrêtes.;incorrect;correct;;;;arêtes
;;Le Tour de France à vélo se caractérise par des cotes difficiles à grimper.;incorrect;correct;;;;côtes
;;Tu résonnes parfois comme un enfant de 5 ans.;incorrect;correct;;;;raisonnes
;;Françoise mange quelques cerises à la fin du repas.;correct;incorrect;;;;
;;Je trouve cette idée étrange, voir loufoque.;incorrect;correct;;;;voire
;;J'ai mis la pièce sans dessus dessous !;incorrect;correct;;;;sens
;;Quand le directeur est entré, ils se sont mis debouts.;incorrect;correct;;;;debout
;;Le chien fait le beau assis sur ses pattes arrières.;correct;incorrect;;;;
;;Cette somme t'est dûe, tu la mérites.;incorrect;correct;;;;due
;;La TVA est inclue dans le prix du manteau.;incorrect;correct;;;;incluses
;;Cette personne a l'air fâché.;incorrect;correct;;;;fâchée
;;Le joueur, prudent, surveille ses arrières.;correct;incorrect;;;;
;;Lorsque la réunion est terminée, on rédige le compte-rendu.;incorrect;correct;;;;compte rendu
;;Roméo et Juliette se sont plus au premier regard.;incorrect;correct;;;;plu
;;Ils se sont faits l'écho de cette information.;incorrect;correct;;;;fait
;;Mon grand-père est né il y a quelque cent ans.;correct;incorrect;;;;
;;Nous te soutiendrons, quoique tu décides.;incorrect;correct;;;;quoi que 
;;J'ai bien réfléchi, mais je reste sceptique quant à la décision que tu as prise.;correct;incorrect;;;;
;;L'association de ces produits constitue un mélange détonant.;correct;incorrect;;;;
;;C'est une personne digne de foie.;incorrect;correct;;;;foi
;;Le technicien en téléphonie a solutionné mon problème d'internet.;incorrect;correct;;;;résolu
;;Je ne comprends pas ce que vous dîtes !;incorrect;correct;;;;dites
;;Les gendarmes se sont fait aider de la brigade cynéphile.;incorrect;correct;;;;cynophile
;;Claude a pensé à amener le dessert.;incorrect;correct;;;;apporter
;;L'école va bientôt rouvrir.;correct;incorrect;;;;
;;Il faut indiquer votre formation sur votre CV, quelle que qu'elle soit;correct;incorrect;;;;
;;Quant je suis arrivé à l'aéroport, j'ai oublié un baguage.;incorrect;correct;;;;bagage
;;Cet appartement possède des pièces trop exigües.;incorrect;correct;;;;exiguës
;;Cette famille a su reserrer ses liens.;incorrect;correct;;;;resserrer
;;Maître Corbeau, par l'odeur alléchée, lui tint à peu près ce langage.;incorrect;correct;;;;alléché
;;Les rond-points fleurissent à l'entrée des villes.;incorrect;correct;;;;ronds-points
;;Nos sac à dos pèsent trop lourds.;incorrect;correct;;;;lourd
;;L'appartement resté vaquant longtemps, est enfin loué.;incorrect;correct;;;;vacant
;;Ils se sont parlés hier.;incorrect;correct;;;;parlé
;;Le Maire et sont équipe vous souhaitent une Bonne Année.;incorrect;correct;;;;son
;;Et voilà, les vacances c'est finit !;incorrect;correct;;;;fini
;;Quelle tempête il a fait hier !;correct;incorrect;;;;
;;LE professeur m'a pénalisé car j'ai fait un contresens.;correct;incorrect;;;;
;;Les pyramides sont de vrais chefs-d'œuvre.;correct;incorrect;;;;
;;elle s'est fait forte d'être arrivée avant moi.;incorrect;correct;;;;fort
;;A la fin du roman, le détective a découvert le poteau rose.;incorrect;correct;;;;pot aux roses
;;Il a réduit sa consommation de pain de quatre-vingt pour cent;incorrect;correct;;;;quatre-vingts
;;Avoir un enfant ou privilégier sa carrière, pour les femmes, quel dilemne !;incorrect;correct;;;;dilemme
;;On va recueillir l'avis des participants à la demie-journée;incorrect;correct;;;;demi
;;Ce tuteur à tomates garantit un bon maitient.;incorrect;correct;;;;maintien
;;Elle coasse fort cette grenouille reinette !;incorrect;correct;;;;rainette
;;Où donc faut-il déposer nos affaires ?;correct;incorrect;;;;
;;Marcel a signé le sous saint privé chez le notaire;incorrect;correct;;;;seing
;;Si six scies scient six citrons, six cent six scies scieront six cent six citrons.;correct;incorrect;;;;
;;Le journaliste a trufé son article de fautes de français.;incorrect;correct;;;;truffé
;;Le client a versé un accompte conséquent pour l'achat de son véhicule électrique;incorrect;correct;;;;acompte
;;Pour louer son appartement Marie a versé des ares au propriétaire.;incorrect;correct;;;;arrhes
;;Quelle joie pour les étudiants admis à l'examen, il se sont félicité des heures durant.;incorrect;correct;;;;félicités
;;Mon chien a renversés les quilles que j'avais si bien alignées.;incorrect;correct;;;;renversé
;;Anticonstitutionnellement est le mot le plus long de la langue Française.;incorrect;correct;;;;française
;;Quand l'employé à commencé sa tâche, il nettoie la gondole.;incorrect;correct;;;;a
;;"""Science sans conscience n'est que ruine de l'âme"" (Rabelais)";correct;incorrect;;;;
;;Jadis nous utilisions des ordinateurs gros comme des immeubles;incorrect;correct;;;;Naguère
;;Les  roses rouges sangs du bouquet, attiraient le regard dès le vestibule.;correct;incorrect;;;;
;;Le perceur de coffres-forts se mettait à l'œuvre dès minuit.;correct;incorrect;;;;
;;Les renardeaux, il les a vu courir dans la neige au petit matin.;incorrect;correct;;;;vus
;;La pièce que j'ai vue jouer était excellente;incorrect;correct;;;;vu
